tipo;nome;localizacao;detalhes;bairro;residuo_construcao_civil;residuo_volumoso;residuo_reciclavel;residuo_solido_organico;rpa;latitude;longitude
Ecoestação;ECOESTAÇÃO IBURA;RUA RIO TAPADO;;IBURA;Sim;Sim;Sim;Não;6;-8.1167303388;-34.9436170817
Ecoestação;ECOESTAÇÃO COHAB;AV. SANTOS;;COHAB;Sim;Sim;Sim;Sim;6;-8.1151484174;-34.9535585504
Ecoestação;ECOESTAÇÃO TOTÓ;RUA ONZE DE AGOSTO;;TOTÓ;Sim;Sim;Sim;Sim;5;-8.07771006407;-34.9718312215
Ecoestação;ECOESTAÇÃO CAMPO GRANDE;AV. GOVERNADOR AGAMENON MAGALHÃES;;CAMPO GRANDE;Sim;Sim;Sim;Sim;2;-8.03906436206;-34.8783753368
Ecoestação;ECOESTAÇÃO IMBIRIBEIRA;AV. MARECHAL MASCARENHAS DE MORAES;;IMBIRIBEIRA;Sim;Sim;Sim;Não;6;-8.12338322055;-34.9152935982
Ecoestação;ECOESTAÇÃO TORRE;RUA REPÚBLICA DA ARGÉLIA;CICLOVIA REPÚBLICA DA ARGÉLIA COM A RUA CRISTIANO CORDEIRO;TORRE;Sim;Sim;Sim;Sim;4;-8.04409204329;-34.9163056829
Ecoestação;ECOESTAÇÃO ARRUDA;AV. PROFESSOR JOSÉ DOS ANJOS;;ARRUDA;Sim;Sim;Sim;Sim;2;-8.02043288039;-34.8745026566
Ecoestação;ECOESTAÇÃO TORRÕES;RUA MAESTRO JONES JOHNSON;;TORROES;Sim;Sim;Sim;Sim;4;-8.0577495092;-34.9353883782
Econúcleo;ECONÚCLEO BARBALHO;EST. DO BARBALHO;AO LADO DO CASARÃO DO BARBALHO;IPUTINGA;Sim;Sim;Sim;Sim;4;-8.028959;-34.934211
Econúcleo;ECONÚCLEO NOVA DESCOBERTA;RUA NOVA DESCOBERTA;;NOVA DESCOBERTA;Sim;Sim;Sim;Sim;3;-8.010592;-34.924343
Econúcleo;ECONÚCLEO VIA MANGUE;R. MANOEL DE BRITO;ABAIXO DO VIADUTO SENTIDO SUL-NORTE;PINA;Sim;Sim;Sim;Sim;6;-8.088878;-34.891676